 CNTY , CONAME ,TOTPOP,POPRANK,POPSQMI,POPANGNO,POPANGPC,POPBLNO,POPBLPCT,POPHISNO,POPHISPC,POPOTHNO,POPOTHPC,POP04TOT,POP04F,POP04M,POP04PCT,POP514TO,POP514F,POP514M,POP514PC,POP1544T,POP1544F,POP1544M,POP1544PC,POP4564T,POP4564F,POP4564M,POP4564PC,POP65T,POP65F,POP65M,POP65PC,POPTFNO,POPTMNO,POPTFMPC,POPTMPC, UNEMPRT , TANFRECP ,FSPARTIC, PCPI , MCELIG , LIVEBIR ,ADBIRNO, ADBIRPCT ,UNWEDNO, UNWEDPCT , LBWNO , LBWPCT ,PRNTNO, PREPCT ,FERTILRT,TBNO,TBRATE,SYPHNO, SYPHRATE ,GONNO, GONRATE ,CHLAMNO,CHLAMRTE,PERTNO, PERTRATE ,VARICNO, VARICRTE ,AIDSNO, AIDSRATE , ALLDEANO ,ALLDEART,CDDEANO,CDDEART,HRTDEANO,HRTDEART,STRDEANO,STRDEART,CANDEANO, CANDEART ,LNGCANDN, LNGCANDR ,BRCANDN, BRCANDR ,COPDDN, COPDDR ,DIADEANO, DIADEART ,INFDEANO, INFDEART ,FTLDEANO,FTLDEART,ACCDEANO, ACCDEART ,MVDEANO, MVDEART ,HMIDEANO, HMIDEART ,SUIDEANO, SUIDEART , POVTOT ,PopUniv_Tot, POVPCT , POV017NO , PopUniv_LT18 , POV017PC , POVGT17N , PopUniv_18+ , POVGT17P , CHIP , Medbirth , Totbirth , MedbirthP , LaborForce , #UnEmp , UnEmp% ,PercapPop,PersInc, PercapInc ,AREA2,PreNatal,NOHILT65,NOHILT65POP,NOHILT65%,NOHI1864,NOHI1864POP,NOHILT18,NOHILT18POP,NOHILT18%,Alzheimer's,ALZDEART, FLUDEANO , FLUDEART , CLNDEANO , CLNDEART , PRSTDEANO , PRSTDEART , NEPHDEANO , NEPHDEART , LVRDEANO , LVVRDEART , SEPTDEANO , SEPTDEART ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 172 , Morris County ,"13,163",152,51.7,"9,168",69.6%,"3,304",25.1%,578,4.4%,113,0.9%,832,403,429,6.3%,"1,621",772,849,12.3%,"4,605","2,324","2,281",35.0%,"3,616","1,878","1,738",27.5%,"2,489","1,425","1,064",18.9%,"6,802","6,361",51.7%,48.3%,5.3%,55,"1,609","$28,912","3,138", 180 ,8,4.4%,92,51.1%,20,11.1%,127,73.8%,77.5,0,---,0,---,28,212.7,62,471.0,0,---,2,15.2,1,7.6,176,970.7,#REF!,#REF!,53,275.9,14,---,43,232.3,12,---,1,---,5,---,5,---,2,---,2,---,12,---,6,---,0,---,2,---,"2,255","12,871",17.5%,774,"2,975",26.0%,"1,481","9,896",15.0%,185,93,188,49.5%,"6,066",321,5.3%,"13,070","377,879,840","$28,912",254.5,172,"2,026","10,463",19%,"1,660","7,566",366,"2,897",12.6%,2,---,4,---,5,---,3,---,2,---,0,---,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 173 , Motley County ,"1,440",244,1.5,"1,183",82.2%,54,3.8%,192,13.3%,11,0.8%,63,29,34,4.4%,166,65,101,11.5%,444,205,239,30.8%,382,180,202,26.5%,385,221,164,26.7%,700,740,48.6%,51.4%,4.1%,3,78,"$25,216",226, 18 ,0,0.0%,3,16.7%,1,5.6%,8,44.4%,87.8,0,---,0,---,0,---,0,---,0,---,0,---,0,---,15,---,#REF!,#REF!,6,---,1,---,2,---,1,---,0,---,1,---,0,---,0,---,0,---,1,---,0,---,0,---,0,---,206,"1,284",16.0%,76,265,28.7%,130,"1,019",12.8%,12,7,20,35.0%,686,28,4.1%,"1,285","32,402,560","$25,216",989.4,18,296,955,31%,239,695,57,260,21.9%,0,---,1,---,0,---,0,---,0,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 174 , Nacogdoches County ,"62,727",53,66.3,"41,705",66.5%,"10,603",16.9%,"9,614",15.3%,805,1.3%,"4,200","2,063","2,137",6.7%,"7,989","3,937","4,052",12.7%,"28,930","14,762","14,168",46.1%,"13,857","7,032","6,825",22.1%,"7,751","4,450","3,301",12.4%,"32,244","30,483",51.4%,48.6%,4.2%,369,"7,492","$24,491","13,143", 973 ,53,5.4%,447,45.9%,88,9.0%,543,58.4%,65.9,1,1.6,8,12.8,96,153.0,255,406.5,7,11.2,18,28.7,3,4.8,539,869.1,#REF!,#REF!,117,187.7,64,100.3,109,175.8,39,63.4,6,---,30,48.7,20,---,7,---,8,---,30,54.0,17,---,2,---,6,---,"12,224","57,955",21.1%,"4,081","14,868",27.4%,"8,143","43,087",18.9%,541,598,"1,020",58.6%,"30,366","1,278",4.2%,"62,221","1,523,854,511","$24,491",946.8,930,"15,085","51,825",29%,"12,481","36,678","2,604","15,147",17.2%,10,---,11,---,3,---,5,---,8,---,8,---,8,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 175 , Navarro County ,"49,037",62,48.7,"29,602",60.4%,"7,906",16.1%,"10,942",22.3%,587,1.2%,"3,623","1,766","1,857",7.4%,"7,218","3,454","3,764",14.7%,"19,930","9,503","10,427",40.6%,"11,658","5,865","5,793",23.8%,"6,608","3,777","2,831",13.5%,"24,365","24,672",49.7%,50.3%,5.0%,226,"5,875","$25,228","11,198", 750 ,43,5.7%,324,43.2%,55,7.3%,346,48.1%,78.9,0,---,1,2.0,70,142.7,209,426.2,0,---,5,10.2,2,4.1,477,900.4,#REF!,#REF!,101,190.7,36,67.7,107,201.3,33,61.7,5,---,31,58.0,12,---,2,---,3,---,22,44.0,10,---,1,---,10,---,"8,820","47,694",18.5%,"3,520","12,498",28.2%,"5,300","35,196",15.1%,448,498,793,62.8%,"20,715","1,030",5.0%,"49,059","1,237,660,452","$25,228","1,007.7",720,"11,203","41,512",27%,"8,969","29,001","2,234","12,511",17.9%,28,52.2,8,---,8,---,6,---,9,---,7,---,6,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 176 , Newton County ,"14,209",144,15.2,"10,589",74.5%,"2,980",21.0%,511,3.6%,129,0.9%,757,367,390,5.3%,"1,846",897,949,13.0%,"5,537","2,562","2,975",39.0%,"3,882","2,008","1,874",27.3%,"2,187","1,172","1,015",15.4%,"7,006","7,203",49.3%,50.7%,6.5%,76,"2,026","$22,376","3,251", 138 ,9,6.5%,69,50.0%,17,12.3%,72,61.5%,53.9,0,---,0,---,16,112.6,52,366.0,0,---,0,---,2,15.0,162,1037.3,#REF!,#REF!,42,262.0,11,---,44,263.5,19,---,7,---,15,---,6,---,3,---,0,---,11,---,6,---,2,---,1,---,"2,693","13,205",20.4%,920,"2,985",30.8%,"1,773","10,220",17.3%,191,101,142,71.1%,"5,773",376,6.5%,"13,782","308,386,032","$22,376",932.7,117,"2,564","11,226",23%,"2,150","8,314",414,"2,912",14.2%,3,---,2,---,2,---,0,---,6,---,2,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 177 , Nolan County ,"14,668",140,16.1,"9,256",63.1%,768,5.2%,"4,580",31.2%,64,0.4%,"1,055",518,537,7.2%,"1,969",988,981,13.4%,"5,487","2,700","2,787",37.4%,"3,740","1,893","1,847",25.5%,"2,417","1,373","1,044",16.5%,"7,472","7,196",50.9%,49.1%,3.7%,58,833,"$27,539","3,818", 250 ,20,8.0%,138,55.2%,24,9.6%,145,59.7%,92.6,0,---,0,---,11,75.0,72,490.9,0,---,9,61.4,0,---,178,980.0,#REF!,#REF!,57,300.9,8,---,27,149.7,11,---,2,---,9,---,12,---,2,---,4,---,14,---,5,---,0,---,1,---,"3,077","14,145",21.8%,"1,271","3,740",34.0%,"1,806","10,405",17.4%,230,73,234,31.2%,"7,564",283,3.7%,"14,550","400,692,450","$27,539",912.0,243,"2,727","12,257",22%,"2,181","8,444",546,"3,813",14.3%,1,---,11,---,3,---,0,---,5,---,0,---,5,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 178 , Nueces County ,"319,881",14,382.7,"103,218",32.3%,"12,959",4.1%,"196,542",61.4%,"7,162",2.2%,"25,898","12,704","13,194",8.1%,"44,261","21,832","22,429",13.8%,"141,161","69,346","71,815",44.1%,"74,303","37,978","36,325",23.2%,"34,258","19,732","14,526",10.7%,"161,592","158,289",50.5%,49.5%,4.3%,"2,542","48,987","$33,970","77,028"," 5,038 ",311,6.2%,"2,331",46.3%,506,10.0%,"2,964",61.8%,72.7,16,5.0,6,1.9,503,157.2,"1,585",495.5,10,3.1,171,53.5,22,6.9,"2,490",872.7,#REF!,#REF!,534,190.1,141,51.5,510,175.9,123,42.8,43,26.9,121,43.5,143,49.4,34,6.7,26,5.1,117,38.8,29,9.5,23,6.8,44,14.4,"60,350","315,527",19.1%,"23,603","85,256",27.7%,"36,747","230,271",16.0%,"4,697","3,336","4,978",67.0%,"158,293","6,859",4.3%,"320,120","10,874,476,400","$33,970",835.8,"4,794","64,543","282,634",23%,"53,438","196,480","11,105","86,154",12.9%,101,37.6,41,14.3,46,15.7,21,17.6,60,21.7,53,17.5,35,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 179 , Ochiltree County ,"9,317",171,10.2,"5,530",59.4%,10,0.1%,"3,679",39.5%,98,1.1%,802,390,412,8.6%,"1,457",702,755,15.6%,"3,732","1,819","1,913",40.1%,"2,236","1,082","1,154",24.0%,"1,090",624,466,11.7%,"4,617","4,700",49.6%,50.4%,2.7%,35,601,"$37,838","1,649", 203 ,17,8.4%,88,43.3%,21,10.3%,112,58.3%,111.6,0,---,0,---,1,10.7,12,128.8,1,10.7,9,96.6,0,---,72,826.0,#REF!,#REF!,20,---,4,---,15,---,3,---,2,---,3,---,4,---,1,---,0,---,4,---,2,---,0,---,1,---,"1,202","9,483",12.7%,500,"2,803",17.8%,702,"6,680",10.5%,111,103,176,58.5%,"5,246",141,2.7%,"9,482","358,779,916","$37,838",917.6,192,"2,882","8,570",34%,"2,072","5,701",810,"2,869",28.2%,4,---,0,---,3,---,0,---,1,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 180 , Oldham County ,"2,186",235,1.5,"1,849",84.6%,52,2.4%,251,11.5%,34,1.6%,124,58,66,5.7%,258,120,138,11.8%,907,388,519,41.5%,571,304,267,26.1%,326,172,154,14.9%,"1,042","1,144",47.7%,52.3%,4.0%,0,96,"$25,628",328, 20 ,0,0.0%,2,10.0%,3,15.0%,13,68.4%,51.5,0,---,0,---,0,---,1,45.7,0,---,1,45.7,0,---,16,---,#REF!,#REF!,2,---,1,---,2,---,0,---,1,---,1,---,1,---,1,---,0,---,1,---,0,---,0,---,1,---,435,"1,965",22.1%,278,579,48.0%,157,"1,386",11.3%,33,10,22,45.5%,936,37,4.0%,"2,061","52,819,308","$25,628","1,500.6",19,590,"1,834",32%,388,"1,159",202,675,29.9%,0,---,1,---,0,---,0,---,0,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 181 , Orange County ,"84,190",42,236.2,"70,426",83.7%,"7,923",9.4%,"4,183",5.0%,"1,658",2.0%,"5,226","2,556","2,670",6.2%,"11,905","5,849","6,056",14.1%,"32,693","16,219","16,474",38.8%,"22,579","11,399","11,180",26.8%,"11,787","6,651","5,136",14.0%,"42,674","41,516",50.7%,49.3%,5.3%,398,"8,743","$31,076","15,864"," 1,168 ",62,5.3%,496,42.5%,132,11.3%,782,70.6%,72.0,0,---,1,1.2,50,59.4,200,237.6,0,---,0,---,11,13.1,928,1029.0,#REF!,#REF!,217,239.7,51,56.0,180,188.9,56,58.5,10,---,66,71.1,25,27.0,12,---,8,---,78,94.4,28,33.0,6,---,20,---,"10,973","81,508",13.5%,"4,045","19,883",20.3%,"6,928","61,625",11.2%,"1,066",620,"1,164",53.3%,"40,748","2,141",5.3%,"82,546","2,565,199,496","$31,076",356.4,"1,108","12,713","71,218",18%,"10,348","50,934","2,365","20,284",11.7%,34,38.5,13,---,23,24.0,9,---,22,24.9,18,---,21,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 182 , Palo Pinto County ,"27,982",95,29.4,"21,778",77.8%,723,2.6%,"5,152",18.4%,329,1.2%,"1,912",929,983,6.8%,"3,732","1,794","1,938",13.3%,"10,482","5,066","5,416",37.5%,"7,235","3,665","3,570",25.9%,"4,621","2,596","2,025",16.5%,"14,050","13,932",50.2%,49.8%,3.7%,128,"2,270","$30,068","5,901", 438 ,24,5.5%,193,44.1%,34,7.8%,283,67.1%,86.5,6,21.4,0,---,14,50.0,18,64.3,1,3.6,2,7.1,2,7.1,331,944.9,#REF!,#REF!,98,272.9,10,---,73,207.9,22,61.6,5,---,33,89.1,14,---,4,---,0,---,19,---,11,---,1,---,3,---,"4,261","26,878",15.9%,"1,516","6,643",22.8%,"2,745","20,235",13.6%,359,397,452,87.8%,"13,915",520,3.7%,"27,268","819,894,224","$30,068",952.9,422,"6,245","23,229",27%,"4,973","16,456","1,272","6,773",18.8%,12,---,4,---,6,---,6,---,6,---,5,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 183 , Panola County ,"23,322",106,29.1,"17,725",76.0%,"4,361",18.7%,"1,083",4.6%,153,0.7%,"1,473",714,759,6.3%,"2,984","1,448","1,536",12.8%,"8,383","4,210","4,173",35.9%,"6,592","3,353","3,239",28.3%,"3,890","2,221","1,669",16.7%,"11,946","11,376",51.2%,48.8%,3.9%,77,"2,098","$31,882","4,438", 310 ,13,4.2%,131,42.3%,26,8.4%,168,61.1%,73.6,0,---,2,8.6,42,180.1,75,321.6,1,4.3,5,21.4,0,---,259,891.2,#REF!,#REF!,62,205.6,10,---,60,196.3,23,74.2,1,---,17,---,9,---,0,---,1,---,24,101.8,15,---,1,---,1,---,"3,093","22,507",13.7%,"1,036","5,336",19.4%,"2,057","17,171",12.0%,227,177,309,57.3%,"12,423",480,3.9%,"22,938","731,309,316","$31,882",800.9,275,"4,643","19,359",24%,"3,748","14,003",895,"5,356",16.7%,9,---,4,---,5,---,3,---,4,---,4,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 184 , Parker County ,"109,022",36,120.7,"94,638",86.8%,"2,302",2.1%,"10,806",9.9%,"1,276",1.2%,"6,230","3,057","3,173",5.7%,"15,154","7,211","7,943",13.9%,"44,595","21,086","23,509",40.9%,"30,764","14,900","15,864",28.2%,"12,279","6,644","5,635",11.3%,"52,898","56,124",48.5%,51.5%,4.1%,197,"5,131","$35,053","11,744"," 1,402 ",53,3.8%,433,30.9%,96,6.8%,808,60.2%,66.5,0,---,1,0.9,23,21.1,150,137.6,12,11.0,24,22.0,1,0.9,878,882.6,#REF!,#REF!,211,214.1,58,58.6,200,187.2,58,52.4,17,---,66,69.0,25,24.2,6,---,4,---,63,60.6,32,30.6,6,---,16,---,"9,003","105,271",8.6%,"2,879","25,691",11.2%,"6,124","79,580",7.7%,879,557,"1,359",41.0%,"52,289","2,136",4.1%,"108,433","3,800,901,949","$35,053",903.5,"1,343","24,087","97,164",25%,"19,198","70,255","4,889","26,909",18.2%,31,36.0,12,---,20,18.8,10,---,12,---,10,---,7,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 185 , Parmer County ,"9,692",167,11.0,"4,271",44.1%,90,0.9%,"5,274",54.4%,57,0.6%,786,385,401,8.1%,"1,564",752,812,16.1%,"3,969","1,945","2,024",41.0%,"2,112","1,027","1,085",21.8%,"1,261",728,533,13.0%,"4,837","4,855",49.9%,50.1%,3.2%,3,606,"$25,953","1,941", 164 ,8,4.9%,68,41.5%,13,7.9%,47,42.0%,84.3,1,10.3,0,---,3,31.0,19,196.0,0,---,0,---,2,20.6,88,842.7,#REF!,#REF!,18,---,5,---,18,---,5,---,2,---,5,---,2,---,3,---,2,---,5,---,2,---,0,---,1,---,"1,417","9,263",15.3%,561,"2,807",20.0%,856,"6,456",13.3%,178,55,172,32.0%,"4,369",141,3.2%,"9,312","241,674,336","$25,953",881.7,112,"2,888","7,981",36%,"2,114","5,284",774,"2,697",28.7%,2,---,4,---,1,---,1,---,4,---,1,---,2,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 186 , Pecos County ,"16,469",132,3.5,"5,176",31.4%,639,3.9%,"10,535",64.0%,119,0.7%,"1,191",585,606,7.2%,"2,171","1,063","1,108",13.2%,"7,567","2,992","4,575",45.9%,"3,622","1,724","1,898",22.0%,"1,918","1,025",893,11.6%,"7,389","9,080",44.9%,55.1%,4.3%,84,"1,644","$19,306","3,310", 245 ,19,7.8%,122,49.8%,27,11.0%,144,60.8%,81.9,0,---,0,---,3,18.2,44,267.2,0,---,7,42.5,0,---,118,785.7,#REF!,#REF!,25,170.2,3,---,22,144.2,5,---,1,---,7,---,3,---,0,---,0,---,12,---,5,---,2,---,1,---,"3,016","13,833",21.8%,996,"3,750",26.6%,"2,020","10,083",20.0%,190,156,250,62.4%,"6,581",283,4.3%,"15,890","306,772,340","$19,306","4,763.7",237,"4,129","12,423",33%,"3,181","8,548",948,"3,875",24.5%,6,---,2,---,1,---,2,---,1,---,5,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 187 , Polk County ,"46,288",67,43.8,"34,857",75.3%,"5,532",12.0%,"4,877",10.5%,"1,022",2.2%,"2,655","1,295","1,360",5.7%,"5,288","2,598","2,690",11.4%,"16,931","7,361","9,570",36.6%,"12,432","6,313","6,119",26.9%,"8,982","4,894","4,088",19.4%,"22,461","23,827",48.5%,51.5%,5.9%,314,"5,720","$31,832","9,873", 560 ,30,5.4%,282,50.4%,46,8.2%,344,64.1%,76.1,1,2.3,0,---,31,67.0,90,194.4,2,4.3,14,30.2,4,9.2,611,1035.2,#REF!,#REF!,149,244.4,31,50.8,136,202.4,40,59.2,7,---,34,53.7,8,---,4,---,2,---,39,84.6,20,---,3,---,9,---,"7,485","42,858",17.5%,"2,827","9,895",28.6%,"4,658","32,963",14.1%,533,383,586,65.4%,"16,671",989,5.9%,"46,206","1,470,829,392","$31,832","1,057.3",537,"8,973","34,468",26%,"7,051","24,426","1,922","10,042",19.1%,13,---,16,---,13,---,8,---,18,---,13,---,19,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 188 , Potter County ,"121,632",31,133.8,"61,970",50.9%,"12,061",9.9%,"42,744",35.1%,"4,857",4.0%,"11,014","5,411","5,603",9.1%,"17,761","8,775","8,986",14.6%,"54,235","25,565","28,670",44.6%,"25,561","12,662","12,899",21.0%,"13,061","7,703","5,358",10.7%,"60,116","61,516",49.4%,50.6%,3.9%,797,"20,621","$29,331","36,018"," 2,206 ",168,7.6%,"1,036",47.0%,194,8.8%,"1,148",53.8%,86.3,4,3.4,7,5.8,465,382.3,876,720.2,6,4.9,222,182.5,5,4.3,"1,140",1005.1,#REF!,#REF!,251,222.0,76,65.6,213,196.3,62,58.1,13,---,94,86.3,53,48.6,26,11.8,8,---,56,46.9,25,21.1,16,---,11,---,"28,561","112,825",25.3%,"11,956","34,243",34.9%,"16,605","78,582",21.1%,"1,179","2,000","2,259",88.5%,"56,902","2,213",3.9%,"120,390","3,531,159,090","$29,331",909.2,"2,132","25,949","100,536",26%,"20,018","65,898","5,931","34,638",17.1%,35,29.2,23,19.8,23,20.5,6,---,22,19.0,19,---,13,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 189 , Presidio County ,"8,100",179,2.1,"1,097",13.5%,15,0.2%,"6,956",85.9%,32,0.4%,821,406,415,10.1%,"1,229",604,625,15.2%,"3,220","1,671","1,549",39.8%,"1,713",863,850,21.1%,"1,117",594,523,13.8%,"4,138","3,962",51.1%,48.9%,8.9%,99,"2,118","$17,601","2,564", 164 ,12,7.3%,78,47.6%,10,6.1%,55,45.1%,98.1,2,24.7,0,---,0,---,8,98.8,0,---,11,135.8,1,12.3,44,489.6,#REF!,#REF!,10,---,2,---,12,---,3,---,0,---,4,---,2,---,2,---,0,---,1,---,0,---,0,---,0,---,"1,820","7,472",24.4%,766,"2,230",34.3%,"1,054","5,242",20.1%,95,89,165,53.9%,"3,220",287,8.9%,"7,517","132,306,717","$17,601","3,855.5",122,"2,509","6,143",41%,"1,906","3,979",603,"2,164",27.9%,0,---,2,---,1,---,2,---,5,---,1,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 190 , Rains County ,"10,687",162,46.0,"9,690",90.7%,270,2.5%,613,5.7%,114,1.1%,525,256,269,4.9%,"1,230",596,634,11.5%,"3,594","1,736","1,858",33.6%,"3,338","1,681","1,657",31.2%,"2,000","1,049",951,18.7%,"5,318","5,369",49.8%,50.2%,4.3%,40,885,"$24,768","1,871", 126 ,3,2.4%,55,43.7%,10,7.9%,61,50.8%,72.6,1,9.4,0,---,1,9.4,11,102.9,0,---,9,84.2,1,9.4,117,901.6,#REF!,#REF!,31,224.1,9,---,22,160.5,8,---,2,---,11,---,4,---,1,---,0,---,13,---,8,---,0,---,3,---,"1,732","11,117",15.6%,550,"2,329",23.6%,"1,182","8,788",13.5%,161,62,132,47.0%,"5,138",222,4.3%,"11,165","276,534,720","$24,768",232.1,120,"2,638","9,096",29%,"2,140","6,801",498,"2,295",21.7%,1,---,3,---,1,---,1,---,4,---,4,---,1,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 191 , Randall County ,"115,608",35,126.4,"95,598",82.7%,"2,109",1.8%,"15,437",13.4%,"2,464",2.1%,"6,491","3,183","3,308",5.6%,"15,302","7,402","7,900",13.2%,"49,370","24,739","24,631",42.7%,"30,343","15,492","14,851",26.2%,"14,102","7,998","6,104",12.2%,"58,814","56,794",50.9%,49.1%,3.0%,18,"1,784","$34,548","10,394"," 1,590 ",40,2.5%,454,28.6%,139,8.7%,"1,087",69.7%,64.3,0,---,3,2.6,78,67.5,219,189.4,7,6.1,368,318.3,1,0.9,804,738.0,#REF!,#REF!,154,144.9,54,51.3,166,141.6,54,45.1,12,---,67,60.6,18,---,15,---,4,---,40,34.9,16,---,2,---,19,---,"10,040","111,271",9.0%,"3,004","27,388",11.0%,"7,036","83,883",8.4%,688,173,"1,585",10.9%,"67,219","2,013",3.0%,"113,341","3,915,704,868","$34,548",914.4,"1,560","21,746","101,713",21%,"17,153","73,294","4,593","28,419",16.2%,27,27.5,14,---,10,---,10,---,9,---,8,---,16,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 192 , Reagan County ,"3,276",225,2.8,"1,425",43.5%,96,2.9%,"1,737",53.0%,18,0.5%,260,125,135,7.9%,460,231,229,14.0%,"1,346",653,693,41.1%,780,382,398,23.8%,430,222,208,13.1%,"1,613","1,663",49.2%,50.8%,2.1%,1,100,"$33,478",463, 60 ,3,5.0%,25,41.7%,2,3.3%,30,52.6%,91.9,0,---,0,---,0,---,3,91.6,0,---,1,30.5,0,---,20,---,#REF!,#REF!,5,---,4,---,5,---,1,---,0,---,1,---,0,---,0,---,1,---,0,---,0,---,0,---,1,---,288,"3,000",9.6%,91,863,10.5%,197,"2,137",9.2%,69,17,57,29.8%,"2,403",51,2.1%,"3,019","101,070,082","$33,478","1,175.3",57,"1,049","2,720",39%,736,"1,846",313,874,35.8%,1,---,0,---,2,---,0,---,0,---,0,---,0,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
